Country,Military_Deaths,Total_deaths,Civilian_deaths
Albania,30000,30200,200
Australia,39800,40500,700
Austria,261000,384700,123700
Belgium,12100,86100,74000
Brazil,1000,2000,1000
Bulgaria,22000,25000,3000
Canada,45400,45400,0
China,4000000,20000000,16000000
Czechoslovakia,25000,345000,320000
Denmark,2100,3200,1100
Dutch East Indies,0,4000000,4000000
Estonia,0,51000,51000
Ethiopia,5000,100000,95000
Finland,95000,97000,2000
France,217600,567600,350000
French Indochina,0,1500000,1500000
Germany,5533000,8800000,3267000
Greece,35000,800000,765000
Hungary,300000,580000,280000
India,87000,2500000,2413000
Italy,301400,457000,155600
Japan,2120000,3100000,980000
Korea,0,473000,473000
Latvia,0,227000,227000
Lithuania,0,353000,353000
Luxembourg,0,2000,2000
Malaya,0,100000,100000
Netherlands,17000,301000,284000
New Zealand,11900,11900,0
Norway,3000,9500,6500
Papua New Guinea,0,15000,15000
Philippines,57000,1000000,943000
Poland,240000,5600000,5360000
Romania,300000,833000,533000
Singapore,0,50000,50000
South Africa,11900,11900,0
Russia,10700000,24000000,13300000
United Kingdom,383600,450700,67100
United States,416800,418500,1700
Yugoslavia,446000,1000000,554000
