id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin,round_number
556392,Hawthorn Hawks,1994,17,Richmond Tigers,21,W,34,5,4,2,7,,,,2,,,,,,1,,,,,,,,,,45552,1994-08-14,36,28,21.0
614897,Geelong Cats,2024,1,St Kilda Saints,1,W,7,5,,,,,,,2,,,1,,,,,3,1,,,1,,,26.0,44356,2024-03-16,23,8,1.0
583553,Essendon Bombers,1999,97,Adelaide Crows,10,W,6,14,5,5,19,,,,,4,3,5,1,,,,10,7,1,,3,,,,45955,1999-06-04,67,48,10.0
590676,Western Bulldogs,1994,36,St Kilda Saints,21,W,35,12,10,8,20,,,,2,,,,,,3,,,,,,,,,,45656,1994-08-13,81,45,21.0
582473,Richmond Tigers,1997,113,Melbourne Demons,10,L,41,4,2,4,8,,,,1,,,,,2,,,,,,,,,,,45929,1997-05-31,32,-25,10.0
540025,St Kilda Saints,2002,24,Fremantle Dockers,2,L,22,,,,,,,,,,,,,,,,,,,,,,,,45344,2002-04-07,0,-3,2.0
507101,Fremantle Dockers,2002,77,St Kilda Saints,2,W,5,1,,,,,,,,,,,,,,,,1,,,,,,,45630,2002-04-07,3,3,2.0
554875,Brisbane Lions,2002,95,Adelaide Crows,10,L,15,1,1,1,2,,,,3,,,,2,,,,1,1,,,4,,,,45747,2002-06-01,20,-7,10.0
507061,Fremantle Dockers,1997,37,St Kilda Saints,20,L,38,4,2,8,12,,,,,,,,,2,,,,,,,,,,,45630,1997-08-16,36,-13,20.0
501586,Port Adelaide Power,1997,69,Brisbane Lions,20,D,39,12,7,6,18,,,,,,,,,2,1,,,,,,,,,,45591,1997-08-16,68,0,20.0
