"section_order","report_section","label","detail","value_1","value_2"
1,"Customer Segment Summary","Gold","","19","40.04"
1,"Customer Segment Summary","Silver","","17","39.15"
1,"Customer Segment Summary","Bronze","","13","37.62"
1,"Customer Segment Summary","Platinum","","10","41.32"
2,"Revenue by Segment","Gold","","760.78","32.67"
2,"Revenue by Segment","Silver","","665.56","28.58"
2,"Revenue by Segment","Bronze","","489.06","21.00"
2,"Revenue by Segment","Platinum","","413.20","17.74"
3,"Top Customer per Segment","Gold","Helena Holý","49.62",""
3,"Top Customer per Segment","Silver","Richard Cunningham","47.62",""
3,"Top Customer per Segment","Platinum","Luis Rojas","46.62",""
3,"Top Customer per Segment","Bronze","Madalena Sampaio","37.62",""
4,"Top Genre per Segment","Platinum","Rock","",""
4,"Top Genre per Segment","Bronze","Rock","",""
4,"Top Genre per Segment","Gold","Rock","",""
4,"Top Genre per Segment","Silver","Rock","",""
5,"Best Performing Country","USA","","523.06","22.46"
6,"Revenue Contribution by Country (Top 5)","USA","","523.06","22.46"
6,"Revenue Contribution by Country (Top 5)","Canada","","303.96","13.05"
6,"Revenue Contribution by Country (Top 5)","France","","195.10","8.38"
6,"Revenue Contribution by Country (Top 5)","Brazil","","190.10","8.16"
6,"Revenue Contribution by Country (Top 5)","Germany","","156.48","6.72"
7,"Top 3 Countries for Expansion","USA","","0.7524","1"
7,"Top 3 Countries for Expansion","Chile","","0.4285","2"
7,"Top 3 Countries for Expansion","Canada","","0.4238","3"
8,"Top Employee by Revenue","Jane Peacock","","833.04",""
9,"Top Artist by Revenue","Iron Maiden","","138.60",""
10,"Top Album by Revenue","Battlestar Galactica (Classic), Season 1","Battlestar Galactica (Classic)","35.82",""
