"metric_category","metric_details"
"SEGMENT: Gold","Customers: 11 | Rev: $438.82 | Top Cust: Johannes Van der Berg | Top Genre: Rock"
"SEGMENT: Platinum","Customers: 11 | Rev: $492.82 | Top Cust: Helena Holý | Top Genre: Rock"
"SEGMENT: Silver","Customers: 37 | Rev: $1396.96 | Top Cust: Tim Goyer | Top Genre: Rock"
"TOP COUNTRY: USA","Rank: 1 | Score: 92.63 | Rev: $523.06"
"COUNTRY CONTRIBUTION: USA","Contribution: 22.46% of Global Revenue"
"COUNTRY CONTRIBUTION: Canada","Contribution: 13.05% of Global Revenue"
"COUNTRY CONTRIBUTION: France","Contribution: 8.38% of Global Revenue"
"TOP EMPLOYEE","Jane Peacock | Rev: $833.04"
"TOP ARTIST","Iron Maiden | Rev: $138.60"
"TOP ALBUM","Battlestar Galactica (Classic), Season 1 by Battlestar Galactica (Classic) | Rev: $35.82"
