"expansion_rank","country","total_customers","total_revenue","avg_revenue_per_customer","avg_invoice_value","genres_purchased","customer_diversity","country_score"
"1","USA","13","523.06","40.24","5.75","22","105","0.7524"
"2","Chile","1","46.62","46.62","6.66","12","15","0.4285"
"3","Canada","8","303.96","38.00","5.43","16","91","0.4238"
"4","Czech Republic","2","90.24","45.12","6.45","12","24","0.4154"
"5","Hungary","1","45.62","45.62","6.52","11","18","0.3842"
"6","France","5","195.10","39.02","5.57","18","69","0.3642"
"7","Ireland","1","45.62","45.62","6.52","8","11","0.3519"
"8","Germany","4","156.48","39.12","5.59","14","42","0.2751"
"9","Brazil","5","190.10","38.02","5.43","13","60","0.2716"
"10","Austria","1","42.62","42.62","6.09","9","11","0.2417"
"11","Finland","1","41.62","41.62","5.95","7","13","0.1880"
"12","Portugal","2","77.24","38.62","5.52","13","25","0.1641"
"13","India","2","75.26","37.63","5.79","10","31","0.1536"
"14","Netherlands","1","40.62","40.62","5.80","7","15","0.1498"
"15","United Kingdom","3","112.86","37.62","5.37","10","41","0.1465"
"16","Norway","1","39.62","39.62","5.66","8","18","0.1221"
"17","Sweden","1","38.62","38.62","5.52","7","16","0.0726"
"18","Spain","1","37.62","37.62","5.37","7","15","0.0313"
"19","Argentina","1","37.62","37.62","5.37","7","14","0.0302"
"20","Italy","1","37.62","37.62","5.37","6","16","0.0240"
"21","Poland","1","37.62","37.62","5.37","5","17","0.0167"
"21","Australia","1","37.62","37.62","5.37","6","9","0.0167"
"23","Denmark","1","37.62","37.62","5.37","5","15","0.0146"
"24","Belgium","1","37.62","37.62","5.37","4","13","0.0042"
