feature,importance
fnlwgt,0.14761884958503352
age,0.10678509669655332
edu_hours_interaction,0.06794379868389006
marital-status_Married-civ-spouse,0.0627849011987128
net_capital,0.05292929675161998
log_cap_gain,0.041890954683935853
education-num,0.04177658278810669
relationship_Husband,0.03962356115683805
capital-gain,0.038412828385474655
hours-per-week,0.03581863367695164
marital-status_Never-married,0.01952544928355638
capital-loss,0.019321039671546823
higher_education,0.017557796290589685
occupation_Exec-managerial,0.01478516171705677
workclass_Private,0.010995136145401083
relationship_Not-in-family,0.010196849146005516
occupation_Prof-specialty,0.009793770226478753
cap_gain_flag,0.00952347960159854
age_bucket_<25,0.009325608341869946
age_bucket_45-54,0.009050612272423056
sex_Female,0.008892892370007302
relationship_Wife,0.0088850770755024
workclass_Self-emp-not-inc,0.008314901603817742
age_bucket_35-44,0.00792778243430184
occupation_Sales,0.007881953767282169
occupation_Craft-repair,0.007517742377435794
sex_Male,0.007206121023759611
age_bucket_25-34,0.0067175260324469745
relationship_Own-child,0.006496351676721891
race_White,0.0063152267061684685
education_Bachelors,0.006315206831543907
marital-status_Divorced,0.006263513180909553
occupation_Other-service,0.005974214342557305
occupation_Adm-clerical,0.005939692638954466
workclass_Local-gov,0.0056983909970093165
hours_bin_overtime,0.0056605059397797156
age_bucket_55+,0.005533296101880493
workclass_Self-emp-inc,0.005461357554071487
hours_bin_part_time,0.005312062674121536
occupation_Transport-moving,0.0051206006810673235
native-country_United-States,0.00508845601208569
education_HS-grad,0.005038669938049698
workclass_Federal-gov,0.004547983225600291
race_Black,0.004535555301428187
hours_bin_full_time,0.004535349684351077
occupation_Tech-support,0.004515460961966538
education_Some-college,0.004396222860357554
workclass_State-gov,0.004318294162360999
occupation_Machine-op-inspct,0.00428030732801485
education_Masters,0.00426869713170552
