feature,coef
capital-gain,2.4035188601158035
net_capital,2.3755570794489413
cap_gain_flag,-2.039948180526919
marital-status_Married-AF-spouse,1.5780353397511033
marital-status_Married-civ-spouse,1.5111275672202957
age_bucket_<25,-1.4405095072715046
native-country_Columbia,-1.3749523801118966
native-country_Ireland,1.121617697168117
hours_bin_part_time,-1.1050960650646693
marital-status_Never-married,-1.086266122655583
native-country_South,-1.0346677010713279
occupation_Priv-house-serv,-1.0042921017514173
native-country_Dominican-Republic,-0.9171184808545886
marital-status_Separated,-0.8920968169585441
marital-status_Divorced,-0.8635323492496014
education-num,0.8631533522468101
occupation_Farming-fishing,-0.8471798280473738
relationship_Wife,0.8288349015903056
native-country_France,0.8120639206477104
native-country_Vietnam,-0.783802337536536
relationship_Other-relative,-0.7768049565582821
occupation_Other-service,-0.7690558046460167
sex_Female,-0.7668722578636166
native-country_Portugal,0.7508161516991296
occupation_Exec-managerial,0.7167773257381608
native-country_Italy,0.7107289931890094
native-country_Cambodia,0.6983822453612912
relationship_Own-child,-0.6951573621382002
native-country_England,0.6775471202008654
native-country_Yugoslavia,0.6483217058389775
marital-status_Married-spouse-absent,-0.6385169382284356
native-country_Canada,0.6382580046925248
occupation_Handlers-cleaners,-0.618844887075467
occupation_Tech-support,0.5661063084418118
native-country_Peru,-0.5655110343978679
race_Amer-Indian-Eskimo,-0.5580349235013299
occupation_Protective-serv,0.5468987708705336
education_Preschool,-0.5282442431772328
native-country_Trinadad&Tobago,-0.5228952464739245
native-country_China,-0.5141936019196358
native-country_Mexico,-0.49938944411332886
age_bucket_45-54,0.48189935405052464
native-country_Laos,-0.47825291929000796
workclass_Self-emp-not-inc,-0.46049416829258744
marital-status_Widowed,-0.46019671944213486
native-country_El-Salvador,-0.45910169947516977
native-country_Hungary,0.44603319807320063
native-country_Scotland,-0.4448362208044381
native-country_Jamaica,0.43072972745096183
education_Assoc-acdm,-0.4154542144300988
